ticket_id,created_date,resolved_date,priority,category,channel,team,status,escalated,customer_satisfaction,customer_message
TKT-0029,2026-03-27 22:08:00,2026-03-29 03:08:00,Medium,Account Access,Email,Specialist Team,Resolved,0,4,User cannot access account and has contacted support multiple times.
TKT-0030,2026-01-25 11:30:00,2026-01-27 14:30:00,Medium,Billing,Email,Team C,Resolved,0,4,Policy related question needs accurate guidance from knowledge base.
TKT-0031,2026-01-11 00:15:00,2026-01-13 17:15:00,Low,Billing,Email,Specialist Team,Resolved,0,4,Campaign delivery problem needs technical validation.
TKT-0032,2026-02-25 21:39:00,2026-02-27 03:39:00,Critical,Account Access,Chat,Team C,Resolved,0,4,Policy related question needs accurate guidance from knowledge base.
TKT-0033,2026-02-14 15:59:00,2026-02-16 11:59:00,Medium,Login Issue,Web Form,Team B,Resolved,0,4,User cannot access account and has contacted support multiple times.
TKT-0034,2026-03-15 10:04:00,2026-03-17 23:04:00,Low,Ad Review,Email,Team B,Resolved,0,4,User cannot access account and has contacted support multiple times.
TKT-0035,2026-01-17 09:25:00,,High,Login Issue,Chat,Team B,Pending,1,3,User cannot access account and has contacted support multiple times.
TKT-0036,2026-03-03 04:20:00,2026-03-06 05:20:00,Low,Ad Review,Email,Team C,Resolved,0,4,Billing issue requires review and possible refund investigation.
TKT-0037,2026-03-30 15:39:00,2026-04-01 03:39:00,Low,Billing,Email,Team B,Resolved,0,5,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0038,2026-02-01 07:17:00,2026-02-02 16:17:00,High,Policy Question,Web Form,Team C,Resolved,0,3,Billing issue requires review and possible refund investigation.
TKT-0039,2026-01-16 14:17:00,2026-01-18 00:17:00,Low,Payment,Chat,Specialist Team,Resolved,0,5,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0040,2026-02-14 19:05:00,2026-02-15 20:05:00,Medium,Login Issue,Email,Team C,Resolved,1,2,Campaign delivery problem needs technical validation.
TKT-0041,2026-02-16 01:39:00,2026-02-17 17:39:00,Low,Account Access,Chat,Team A,Resolved,0,5,User cannot access account and has contacted support multiple times.
TKT-0042,2026-02-23 13:40:00,2026-02-25 11:40:00,Medium,Policy Question,Chat,Team C,Resolved,1,3,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0043,2026-02-13 01:02:00,,Low,Payment,Chat,Specialist Team,Open,0,5,Campaign delivery problem needs technical validation.
TKT-0044,2026-03-26 19:34:00,2026-03-28 01:34:00,High,Technical Bug,Phone,Team B,Resolved,0,3,User cannot access account and has contacted support multiple times.
TKT-0045,2026-03-11 09:22:00,2026-03-11 15:22:00,Critical,Policy Question,Chat,Team A,Resolved,0,5,User cannot access account and has contacted support multiple times.
TKT-0046,2026-01-10 18:05:00,2026-01-12 14:05:00,Medium,Technical Bug,Phone,Team B,Resolved,1,3,Campaign delivery problem needs technical validation.
TKT-0047,2026-01-01 22:16:00,,Medium,Ad Review,Phone,Team B,Pending,1,3,User cannot access account and has contacted support multiple times.
TKT-0048,2026-01-01 12:21:00,2026-01-03 05:21:00,Medium,Technical Bug,Phone,Team B,Resolved,1,3,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0049,2026-01-25 21:25:00,2026-01-27 18:25:00,Medium,Technical Bug,Email,Team C,Resolved,1,2,User cannot access account and has contacted support multiple times.
TKT-0050,2026-03-08 19:48:00,2026-03-10 06:48:00,Medium,Technical Bug,Chat,Team C,Resolved,0,3,Campaign delivery problem needs technical validation.
TKT-0051,2026-03-28 14:08:00,2026-03-29 03:08:00,High,Policy Question,Email,Team B,Resolved,1,3,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0052,2026-03-06 14:53:00,2026-03-08 15:53:00,Medium,Billing,Email,Team B,Resolved,0,4,Policy related question needs accurate guidance from knowledge base.
TKT-0053,2026-01-17 00:42:00,2026-01-17 22:42:00,Medium,Payment,Web Form,Team C,Closed,0,5,User cannot access account and has contacted support multiple times.
TKT-0054,2026-02-09 17:47:00,2026-02-10 23:47:00,Medium,Technical Bug,Web Form,Specialist Team,Resolved,0,4,Policy related question needs accurate guidance from knowledge base.
TKT-0055,2026-02-04 04:04:00,2026-02-06 18:04:00,Medium,Ad Review,Phone,Team C,Resolved,0,4,Billing issue requires review and possible refund investigation.
TKT-0056,2026-01-18 07:44:00,2026-01-21 02:44:00,Low,Technical Bug,Phone,Team C,Resolved,0,3,User cannot access account and has contacted support multiple times.
TKT-0057,2026-02-23 12:05:00,2026-02-23 18:05:00,Critical,Billing,Phone,Specialist Team,Closed,0,5,Billing issue requires review and possible refund investigation.
TKT-0058,2026-03-08 08:13:00,2026-03-09 01:13:00,High,Login Issue,Email,Team A,Closed,1,3,User cannot access account and has contacted support multiple times.
TKT-0059,2026-03-29 03:17:00,,High,Payment,Phone,Team B,Open,1,3,User cannot access account and has contacted support multiple times.
TKT-0060,2026-01-01 22:31:00,2026-01-04 02:31:00,Medium,Technical Bug,Phone,Team B,Resolved,1,3,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0061,2026-02-25 17:48:00,,Medium,Technical Bug,Email,Team B,Open,1,3,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0062,2026-03-09 09:24:00,2026-03-10 14:24:00,Critical,Account Access,Email,Team C,Closed,1,3,Billing issue requires review and possible refund investigation.
TKT-0063,2026-01-26 17:15:00,2026-01-28 02:15:00,Critical,Technical Bug,Phone,Team B,Closed,1,3,Campaign delivery problem needs technical validation.
TKT-0064,2026-02-05 01:46:00,2026-02-06 15:46:00,Low,Payment,Web Form,Specialist Team,Resolved,0,5,Campaign delivery problem needs technical validation.
TKT-0065,2026-01-09 16:58:00,2026-01-10 20:58:00,Critical,Login Issue,Chat,Specialist Team,Resolved,1,2,Billing issue requires review and possible refund investigation.
TKT-0066,2026-03-11 15:41:00,2026-03-13 15:41:00,Low,Technical Bug,Web Form,Team A,Resolved,0,5,User cannot access account and has contacted support multiple times.
TKT-0067,2026-03-27 18:57:00,,High,Account Access,Chat,Specialist Team,Pending,1,3,Policy related question needs accurate guidance from knowledge base.
TKT-0068,2026-02-03 04:15:00,2026-02-05 09:15:00,Low,Ad Review,Email,Team C,Resolved,0,4,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0069,2026-03-12 18:24:00,2026-03-14 05:24:00,Medium,Account Access,Chat,Specialist Team,Resolved,1,3,Policy related question needs accurate guidance from knowledge base.
TKT-0070,2026-03-03 19:08:00,,Medium,Account Access,Chat,Team A,Open,0,3,Campaign delivery problem needs technical validation.
TKT-0071,2026-03-16 00:19:00,2026-03-16 10:19:00,High,Policy Question,Email,Team B,Resolved,0,5,Policy related question needs accurate guidance from knowledge base.
TKT-0072,2026-03-25 22:00:00,2026-03-27 19:00:00,Low,Policy Question,Web Form,Specialist Team,Closed,0,5,User cannot access account and has contacted support multiple times.
TKT-0073,2026-01-27 06:33:00,2026-01-28 19:33:00,Critical,Billing,Web Form,Team A,Closed,1,3,User cannot access account and has contacted support multiple times.
TKT-0074,2026-01-07 17:41:00,2026-01-08 08:41:00,High,Login Issue,Phone,Specialist Team,Resolved,1,2,User cannot access account and has contacted support multiple times.
TKT-0075,2026-03-08 13:16:00,2026-03-11 05:16:00,Low,Account Access,Email,Team A,Resolved,0,4,User cannot access account and has contacted support multiple times.
TKT-0076,2026-03-23 10:33:00,2026-03-25 11:33:00,Low,Login Issue,Email,Specialist Team,Resolved,1,2,Campaign delivery problem needs technical validation.
TKT-0077,2026-01-15 04:16:00,2026-01-18 01:16:00,Low,Technical Bug,Phone,Team B,Resolved,1,3,Billing issue requires review and possible refund investigation.
TKT-0078,2026-03-09 23:12:00,,Low,Ad Review,Email,Team B,Pending,1,3,User cannot access account and has contacted support multiple times.
TKT-0079,2026-03-21 17:14:00,,Low,Ad Review,Email,Specialist Team,Open,0,3,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0080,2026-01-26 07:59:00,2026-01-28 03:59:00,Medium,Login Issue,Email,Team B,Resolved,1,3,Campaign delivery problem needs technical validation.
TKT-0081,2026-02-23 22:46:00,2026-02-25 16:46:00,Low,Billing,Chat,Team C,Resolved,0,4,Campaign delivery problem needs technical validation.
TKT-0082,2026-01-06 18:19:00,2026-01-09 00:19:00,Medium,Technical Bug,Phone,Team C,Resolved,1,3,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0083,2026-03-02 07:26:00,2026-03-03 07:26:00,Critical,Billing,Chat,Specialist Team,Closed,1,3,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0084,2026-01-09 17:45:00,2026-01-11 15:45:00,Medium,Ad Review,Web Form,Team B,Resolved,0,4,Campaign delivery problem needs technical validation.
TKT-0085,2026-02-12 15:51:00,2026-02-13 19:51:00,Medium,Technical Bug,Email,Specialist Team,Resolved,0,4,Billing issue requires review and possible refund investigation.
TKT-0086,2026-02-03 14:47:00,2026-02-05 13:47:00,Low,Account Access,Phone,Team C,Resolved,0,4,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0087,2026-02-15 01:47:00,2026-02-15 17:47:00,High,Ad Review,Phone,Team C,Closed,0,4,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0088,2026-02-10 05:06:00,2026-02-12 10:06:00,Medium,Technical Bug,Web Form,Team C,Closed,1,3,User cannot access account and has contacted support multiple times.
TKT-0089,2026-01-02 19:51:00,,Critical,Ad Review,Chat,Team B,Open,1,2,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0090,2026-03-29 16:12:00,2026-03-30 14:12:00,Medium,Login Issue,Chat,Specialist Team,Resolved,0,5,Policy related question needs accurate guidance from knowledge base.
TKT-0091,2026-02-25 22:10:00,2026-02-26 05:10:00,Critical,Billing,Email,Team C,Resolved,1,2,Campaign delivery problem needs technical validation.
TKT-0092,2026-01-30 21:14:00,2026-02-02 05:14:00,Low,Technical Bug,Chat,Team A,Resolved,0,4,Billing issue requires review and possible refund investigation.
TKT-0093,2026-02-14 18:12:00,2026-02-15 21:12:00,Medium,Login Issue,Chat,Team B,Resolved,0,4,Billing issue requires review and possible refund investigation.
TKT-0094,2026-01-12 09:25:00,,Low,Login Issue,Chat,Team A,Pending,1,3,User cannot access account and has contacted support multiple times.
TKT-0095,2026-03-18 20:58:00,2026-03-20 01:58:00,Medium,Ad Review,Chat,Team A,Resolved,0,3,User cannot access account and has contacted support multiple times.
TKT-0096,2026-01-14 03:23:00,2026-01-14 21:23:00,Medium,Login Issue,Web Form,Team C,Resolved,0,4,Policy related question needs accurate guidance from knowledge base.
TKT-0097,2026-03-02 00:13:00,,Low,Ad Review,Chat,Team A,Pending,1,2,User cannot access account and has contacted support multiple times.
TKT-0098,2026-01-03 06:52:00,2026-01-04 19:52:00,Medium,Payment,Phone,Team B,Resolved,1,3,Policy related question needs accurate guidance from knowledge base.
TKT-0099,2026-03-24 20:04:00,2026-03-27 00:04:00,Medium,Policy Question,Web Form,Team B,Resolved,1,2,Billing issue requires review and possible refund investigation.
TKT-0100,2026-03-12 06:18:00,,Medium,Technical Bug,Email,Team C,Open,0,4,Billing issue requires review and possible refund investigation.
TKT-0101,2026-02-03 23:25:00,2026-02-04 17:25:00,High,Login Issue,Email,Specialist Team,Resolved,0,4,Campaign delivery problem needs technical validation.
TKT-0102,2026-01-29 01:08:00,2026-01-30 12:08:00,Low,Account Access,Chat,Specialist Team,Resolved,0,5,Policy related question needs accurate guidance from knowledge base.
TKT-0103,2026-01-30 15:09:00,2026-01-31 15:09:00,Medium,Login Issue,Chat,Team A,Resolved,0,5,Billing issue requires review and possible refund investigation.
TKT-0104,2026-01-22 22:53:00,2026-01-24 08:53:00,Critical,Technical Bug,Phone,Team A,Resolved,0,4,User cannot access account and has contacted support multiple times.
TKT-0105,2026-03-11 08:39:00,2026-03-13 04:39:00,High,Policy Question,Web Form,Team B,Resolved,1,2,User cannot access account and has contacted support multiple times.
TKT-0106,2026-03-07 19:22:00,2026-03-10 12:22:00,Low,Login Issue,Chat,Team A,Closed,0,3,Billing issue requires review and possible refund investigation.
TKT-0107,2026-01-21 10:24:00,2026-01-22 23:24:00,Medium,Account Access,Phone,Specialist Team,Resolved,0,3,Billing issue requires review and possible refund investigation.
TKT-0108,2026-03-18 14:32:00,2026-03-20 13:32:00,Medium,Billing,Email,Specialist Team,Resolved,0,4,User cannot access account and has contacted support multiple times.
TKT-0109,2026-03-23 02:25:00,2026-03-25 07:25:00,Low,Login Issue,Phone,Specialist Team,Resolved,0,3,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0110,2026-01-08 06:40:00,2026-01-09 15:40:00,Low,Payment,Phone,Team A,Closed,0,5,User cannot access account and has contacted support multiple times.
TKT-0111,2026-01-05 17:54:00,,Low,Account Access,Email,Team B,Pending,0,5,Billing issue requires review and possible refund investigation.
TKT-0112,2026-01-29 12:43:00,2026-01-30 12:43:00,High,Login Issue,Email,Team C,Resolved,1,3,User cannot access account and has contacted support multiple times.
TKT-0113,2026-02-13 17:32:00,2026-02-15 11:32:00,Critical,Technical Bug,Chat,Team C,Resolved,1,3,User cannot access account and has contacted support multiple times.
TKT-0114,2026-03-11 04:10:00,2026-03-12 16:10:00,Medium,Ad Review,Phone,Specialist Team,Closed,1,2,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0115,2026-03-03 17:55:00,2026-03-05 21:55:00,Medium,Account Access,Email,Team C,Resolved,0,4,Billing issue requires review and possible refund investigation.
TKT-0116,2026-03-06 11:23:00,2026-03-08 17:23:00,Medium,Ad Review,Phone,Team A,Resolved,0,4,Billing issue requires review and possible refund investigation.
TKT-0117,2026-03-30 09:16:00,2026-03-31 05:16:00,Medium,Policy Question,Phone,Team A,Resolved,0,5,Policy related question needs accurate guidance from knowledge base.
TKT-0118,2026-03-16 02:26:00,2026-03-17 10:26:00,Medium,Billing,Chat,Specialist Team,Resolved,1,3,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0119,2026-03-02 21:19:00,2026-03-05 06:19:00,Low,Ad Review,Chat,Specialist Team,Resolved,1,2,Campaign delivery problem needs technical validation.
TKT-0120,2026-01-28 09:08:00,2026-01-30 19:08:00,Low,Policy Question,Chat,Team B,Resolved,0,3,Billing issue requires review and possible refund investigation.
TKT-0121,2026-03-10 22:51:00,2026-03-13 08:51:00,Low,Billing,Email,Team C,Resolved,0,4,User cannot access account and has contacted support multiple times.
TKT-0122,2026-01-29 12:57:00,2026-01-31 05:57:00,Low,Billing,Email,Specialist Team,Resolved,0,5,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0123,2026-01-03 10:39:00,2026-01-04 16:39:00,Medium,Login Issue,Chat,Specialist Team,Resolved,0,3,Campaign delivery problem needs technical validation.
TKT-0124,2026-01-31 03:32:00,2026-02-02 15:32:00,Medium,Ad Review,Email,Specialist Team,Resolved,0,3,Campaign delivery problem needs technical validation.
TKT-0125,2026-01-15 01:47:00,2026-01-16 11:47:00,Medium,Login Issue,Chat,Team A,Resolved,1,3,Billing issue requires review and possible refund investigation.
TKT-0126,2026-01-10 07:17:00,2026-01-11 19:17:00,Medium,Payment,Web Form,Team C,Resolved,0,4,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0127,2026-03-28 22:00:00,2026-03-31 00:00:00,Low,Login Issue,Chat,Team B,Resolved,0,3,User cannot access account and has contacted support multiple times.
TKT-0128,2026-03-07 02:58:00,2026-03-08 19:58:00,High,Payment,Web Form,Specialist Team,Closed,0,3,User cannot access account and has contacted support multiple times.
TKT-0129,2026-02-22 20:50:00,2026-02-24 11:50:00,Low,Account Access,Email,Team B,Resolved,0,5,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0130,2026-01-28 22:22:00,2026-01-29 02:22:00,Critical,Payment,Email,Team A,Resolved,0,5,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0131,2026-01-09 07:04:00,,High,Policy Question,Phone,Team B,Open,1,2,Campaign delivery problem needs technical validation.
TKT-0132,2026-01-19 14:15:00,2026-01-21 01:15:00,Low,Billing,Email,Team A,Closed,0,4,Billing issue requires review and possible refund investigation.
TKT-0133,2026-03-23 18:06:00,2026-03-25 20:06:00,Low,Policy Question,Chat,Team C,Resolved,1,3,Billing issue requires review and possible refund investigation.
TKT-0134,2026-02-18 13:03:00,2026-02-19 23:03:00,High,Ad Review,Phone,Specialist Team,Resolved,1,3,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0135,2026-03-16 19:33:00,2026-03-18 21:33:00,High,Ad Review,Web Form,Team A,Resolved,0,3,Billing issue requires review and possible refund investigation.
TKT-0136,2026-01-30 09:27:00,2026-01-31 15:27:00,Low,Login Issue,Phone,Team A,Resolved,0,5,Campaign delivery problem needs technical validation.
TKT-0137,2026-02-01 19:31:00,2026-02-03 07:31:00,Medium,Policy Question,Phone,Team B,Closed,0,4,Campaign delivery problem needs technical validation.
TKT-0138,2026-01-29 15:07:00,2026-01-31 04:07:00,Critical,Policy Question,Email,Specialist Team,Closed,0,4,Campaign delivery problem needs technical validation.
TKT-0139,2026-01-16 00:27:00,2026-01-17 03:27:00,High,Billing,Phone,Team B,Resolved,0,4,User cannot access account and has contacted support multiple times.
TKT-0140,2026-03-20 23:08:00,2026-03-22 13:08:00,Medium,Policy Question,Email,Team C,Resolved,0,4,Policy related question needs accurate guidance from knowledge base.
TKT-0141,2026-02-25 12:10:00,2026-02-26 14:10:00,Medium,Payment,Phone,Team B,Resolved,0,3,User cannot access account and has contacted support multiple times.
TKT-0142,2026-03-28 23:12:00,2026-03-30 20:12:00,Low,Policy Question,Chat,Team B,Closed,0,4,Policy related question needs accurate guidance from knowledge base.
TKT-0143,2026-03-01 19:10:00,,Low,Login Issue,Phone,Team A,Pending,0,5,User cannot access account and has contacted support multiple times.
TKT-0144,2026-03-07 21:09:00,2026-03-09 02:09:00,Critical,Policy Question,Phone,Team C,Resolved,1,3,Billing issue requires review and possible refund investigation.
TKT-0145,2026-02-05 13:56:00,2026-02-07 10:56:00,Medium,Billing,Email,Specialist Team,Closed,0,3,Billing issue requires review and possible refund investigation.
TKT-0146,2026-03-21 09:01:00,,Low,Account Access,Web Form,Team A,Open,0,5,Policy related question needs accurate guidance from knowledge base.
TKT-0147,2026-03-14 05:54:00,2026-03-15 18:54:00,Low,Payment,Chat,Team B,Resolved,0,5,Billing issue requires review and possible refund investigation.
TKT-0148,2026-01-18 00:57:00,2026-01-19 10:57:00,Medium,Policy Question,Web Form,Team B,Closed,0,4,Policy related question needs accurate guidance from knowledge base.
TKT-0149,2026-03-12 04:33:00,2026-03-12 22:33:00,Medium,Policy Question,Chat,Team C,Resolved,0,5,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0150,2026-01-07 20:16:00,2026-01-08 20:16:00,Medium,Login Issue,Chat,Team C,Closed,0,5,Policy related question needs accurate guidance from knowledge base.
TKT-0151,2026-02-05 07:45:00,2026-02-07 03:45:00,Medium,Billing,Phone,Team C,Closed,0,3,User cannot access account and has contacted support multiple times.
TKT-0152,2026-03-09 07:32:00,2026-03-10 07:32:00,High,Billing,Phone,Team A,Resolved,1,3,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0153,2026-03-13 18:58:00,2026-03-14 18:58:00,Medium,Payment,Phone,Team C,Resolved,0,4,Campaign delivery problem needs technical validation.
TKT-0154,2026-04-01 06:14:00,2026-04-02 02:14:00,Critical,Technical Bug,Web Form,Team B,Resolved,0,3,User cannot access account and has contacted support multiple times.
TKT-0155,2026-03-22 09:41:00,2026-03-24 05:41:00,Medium,Login Issue,Chat,Team C,Resolved,1,2,User cannot access account and has contacted support multiple times.
TKT-0156,2026-03-22 10:22:00,,High,Login Issue,Phone,Specialist Team,Pending,0,3,Billing issue requires review and possible refund investigation.
TKT-0157,2026-03-03 10:15:00,2026-03-05 15:15:00,Medium,Ad Review,Web Form,Specialist Team,Resolved,1,3,User cannot access account and has contacted support multiple times.
TKT-0158,2026-02-22 01:54:00,2026-02-24 04:54:00,Medium,Billing,Phone,Team B,Closed,0,4,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0159,2026-02-06 03:04:00,2026-02-07 19:04:00,Medium,Ad Review,Email,Team B,Resolved,0,4,User cannot access account and has contacted support multiple times.
TKT-0160,2026-03-11 00:50:00,2026-03-12 06:50:00,Medium,Account Access,Email,Team C,Resolved,1,3,Campaign delivery problem needs technical validation.
TKT-0161,2026-01-21 07:35:00,2026-01-24 03:35:00,Low,Technical Bug,Chat,Team B,Resolved,1,3,User cannot access account and has contacted support multiple times.
TKT-0162,2026-03-26 04:15:00,2026-03-27 18:15:00,Medium,Account Access,Email,Team B,Resolved,0,3,Billing issue requires review and possible refund investigation.
TKT-0163,2026-03-21 19:23:00,2026-03-23 12:23:00,Medium,Payment,Email,Team B,Resolved,1,2,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0164,2026-02-26 17:51:00,2026-02-27 04:51:00,Critical,Account Access,Web Form,Specialist Team,Resolved,0,4,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0165,2026-03-04 19:21:00,2026-03-06 16:21:00,Medium,Account Access,Chat,Team C,Resolved,1,3,Billing issue requires review and possible refund investigation.
TKT-0166,2026-02-20 07:22:00,2026-02-22 07:22:00,High,Technical Bug,Phone,Team C,Resolved,1,3,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0167,2026-02-26 19:12:00,2026-02-27 23:12:00,Medium,Ad Review,Chat,Team A,Resolved,0,4,Policy related question needs accurate guidance from knowledge base.
TKT-0168,2026-01-09 19:25:00,2026-01-11 19:25:00,Medium,Billing,Email,Team B,Resolved,0,3,Policy related question needs accurate guidance from knowledge base.
TKT-0169,2026-03-06 12:39:00,2026-03-07 20:39:00,Low,Payment,Email,Team B,Closed,0,5,User cannot access account and has contacted support multiple times.
TKT-0170,2026-01-18 15:42:00,2026-01-19 21:42:00,Low,Billing,Web Form,Team A,Resolved,0,5,Billing issue requires review and possible refund investigation.
TKT-0171,2026-02-14 08:55:00,2026-02-15 11:55:00,Medium,Technical Bug,Email,Team C,Resolved,0,4,Campaign delivery problem needs technical validation.
TKT-0172,2026-03-31 10:02:00,2026-04-01 22:02:00,High,Policy Question,Web Form,Specialist Team,Resolved,0,3,User cannot access account and has contacted support multiple times.
TKT-0173,2026-03-23 11:49:00,,Medium,Billing,Email,Specialist Team,Open,0,4,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0174,2026-01-02 22:43:00,2026-01-03 23:43:00,Medium,Policy Question,Email,Team B,Resolved,1,2,Policy related question needs accurate guidance from knowledge base.
TKT-0175,2026-02-11 16:28:00,2026-02-12 09:28:00,High,Login Issue,Email,Team C,Closed,1,2,Policy related question needs accurate guidance from knowledge base.
TKT-0176,2026-03-27 08:29:00,2026-03-28 10:29:00,Medium,Ad Review,Email,Team A,Resolved,0,3,Policy related question needs accurate guidance from knowledge base.
TKT-0177,2026-01-14 22:24:00,2026-01-15 19:24:00,Medium,Payment,Chat,Specialist Team,Resolved,0,4,Campaign delivery problem needs technical validation.
TKT-0178,2026-03-22 12:43:00,2026-03-24 04:43:00,Low,Policy Question,Email,Team C,Resolved,0,5,Campaign delivery problem needs technical validation.
TKT-0179,2026-03-08 03:49:00,2026-03-09 12:49:00,High,Ad Review,Phone,Team C,Resolved,0,3,Billing issue requires review and possible refund investigation.
TKT-0180,2026-01-03 23:53:00,2026-01-05 20:53:00,Low,Policy Question,Phone,Specialist Team,Resolved,0,4,Campaign delivery problem needs technical validation.
